ID,Pagina ,Marca,Modelo ,Codigo Internet ,Color ,Costo proveedor,Costo de Venta Al Publico,Incremento,Residuo,Porcentaje %,Comicion Mercado,Comicion de Mercado Estimada,Ganancia Estimada,Ganancia Real,Difeencia de ganancias,Obervaciones
1,9,Battaglia ,52702,519149,Negro ,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
2,9,Battaglia ,52702,519168,Topo,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
3,11,Miracol ,2217,520438,Nutria,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
4,11,Miracol ,2213,520426,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
5,11,Miracol ,2213,520417,Cogna,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
6,12,Milagros ,1477,498248,Moka,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
7,12,Milagros ,1479,520133,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
8,12,Milagros ,1479,520124,Camel,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
9,13,Milagros ,14111,520302,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
10,13,Milagros ,14111,520291,Melle Obscuro,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
11,15,Milagros ,1141,520112,Nutria,$379.50,$569.25,$189.75,$0.50,$50.00,,$99.62,$90.13,$189.75,$99.62,
12,15,D Valeria ,3012,522982,Negro ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
13,15,D Valeria ,3012,522971,Camel,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
14,16,Kiut ,9784,525847,Arena terra ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
15,16,Kiut ,9784,525858,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
16,17,Daddy New York ,21002,519474,Topo ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
17,17,Daddy New York ,21002,519514,Negro ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
18,19,Davichi ,530,522258,Melle ,$369.50,$554.25,$184.75,$0.50,$50.00,$96.99,$96.99,$87.76,$87.76,$0.00,
19,19,Davichi ,530,522312,Negro ,$369.50,$554.25,$184.75,$0.50,$50.00,$96.99,$96.99,$87.76,$87.76,$0.00,
20,19,Davichi ,531,522342,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
21,25,Battaglia Mia ,51810,519111,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
22,30,Milagros,2104,520154,Chocolate,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
23,30,Milagros ,2104,520166,Negro ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
24,35,Polo Hpc,3939,522933,Negro ,$529.50,$794.25,$264.75,$0.50,$50.00,,$138.99,$125.76,$264.75,$138.99,
25,40,Miracol,900,524541,Negro ,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
26,40,Miracol ,900,524571,Tan,$449.50,$674.25,$224.75,$0.50,$50.00,$117.99,$117.99,$106.76,$106.76,$0.00,
27,41,Miracol,2207,481137,Negro / Avellana,$429.50,$644.25,$214.75,$0.50,$50.00,$112.74,$112.74,$102.01,$102.01,$0.00,
28,66,Milagros ,13111,520283,Sand,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
29,66,Milagros ,13107,520272,Negro ,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
30,66,Milagros ,13107,520269,Cognac ,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
31,81,Miracol ,4706,504699,Azul/beige,$439.50,$659.25,$219.75,$0.50,$50.00,$115.37,$115.37,$104.38,$104.38,$0.00,
32,81,Miracol ,7529,521080,Negro/Neutro,$419.50,$629.25,$209.75,$0.50,$50.00,$110.12,$110.12,$99.63,$99.63,$0.00,
33,81,Miracol ,7529,521091,Oro ingles/camel,$419.50,$629.25,$209.75,$0.50,$50.00,$110.12,$110.12,$99.63,$99.63,$0.00,
34,83,Lili mill ,3805,520886,Burgundy ,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
35,83,Lili mill ,3805,520897,Azul indigo ,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
36,83,Lili mill ,7706,520953,Negro,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
37,85,Lili mill ,4711,504747,Negro,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
38,85,Lili miil ,6827,520945,Berengena,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
39,85,Lili mill ,7707,520964,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
40,87,Miracol ,3907,521020,Musgo,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
41,87,Miracol ,3907,521039,Negro,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
42,88,Bagas Footwear ,1003,519045,Negro,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
43,88,Bagas Footwear ,1004,519083,Ladrillo ,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
44,88,Bagas Footwear ,1004,519120,Negro,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
45,97,Cosmo New York ,9622,519273,Musgo,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
46,97,Cosmo New York ,9622,519313,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
47,97,Cosmo New York ,9622,519246,Ladrillo ,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
48,98,Miracol ,40436,501402,Tan ,$339.50,$509.25,$169.75,$0.50,$50.00,$89.12,$89.12,$80.63,$80.63,$0.00,
49,98,Miracol ,40438,501411,Negro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
50,98,Miracol ,40438,501423,Ostra,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
51,99,Miracol ,40441,519235,Neutro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
52,99,Miracol 9620,9620,502612,Camel,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,Corregir talla
53,99,Miracol 9620,9620,502621,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,Corregir talla
54,100,Lili mill 302,302,446746,Negro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
55,100,Lili mill 302,302,520829,Merlot ,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
56,101,Lili mill 6109,6109,520906,Negro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
57,101,Lili mill 6109,6109,520915,Nutty,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
58,101,Viani 3925,3925,524704,Negro,$389.50,$584.25,$194.75,$0.50,$50.00,,$102.24,$92.51,$194.75,$102.24,Corregir descripcion e imagen de calzado 
59,102,Viani 1630,1630,503319,Desierto,$379.50,$569.25,$189.75,$0.50,$50.00,$99.62,$99.62,$90.13,$90.13,$0.00,
60,102,Viani 1630,1630,503328,Negro,$379.50,$569.25,$189.75,$0.50,$50.00,$99.62,$99.62,$90.13,$90.13,$0.00,
61,103,Viani 1644,1644,524686,Negro,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,Corregir descripcion deben ser 2 descripciones diferentes
62,103,Viani 1644,1644,524637,Maquillaje,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,
63,105,Felisa V. ,5502,504755,Negro,$309.50,$465.00,,$1.00,,$81.38,$81.38,$74.12,$74.12,$0.00,
64,105,Miracol 4818,4818,521050,Negro,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
65,105,Miracol 4818,4818,521041,Musgo,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
66,106,Bagas Footwear 1600,1600,519187,Neutro,$269.50,$404.25,$134.75,$0.50,$50.00,$70.74,$70.74,$64.01,$64.01,$0.00,"Corregir deescripcion, deben de ser dos diferentes "
67,106,Bagas Footwear 1600,1600,519150,Azul marino ,$269.50,$404.25,$134.75,$0.50,$50.00,$70.74,$70.74,$64.01,$64.01,$0.00,"Corregir deescripcion, deben de ser dos diferentes "
68,107,Lili mill 6425,6425,520934,Negro,$329.50,$494.25,$164.75,$0.50,$50.00,$86.49,$86.49,$78.26,$78.26,$0.00,
69,107,Lili mill 6425,6425,520926,Ladrillo ,$329.50,$494.25,$164.75,$0.50,$50.00,$86.49,$86.49,$78.26,$78.26,$0.00,
70,110,Lili mill 441,441,520867,Berenjena ,$329.50,$494.25,$164.75,$0.50,$50.00,$86.49,$86.49,$78.26,$78.26,$0.00,
71,110,Lili mill 441,441,520878,Negro,$329.50,$494.25,$164.75,$0.50,$50.00,$86.49,$86.49,$78.26,$78.26,$0.00,
72,111,Lili mill 437,437,520830,Inox ,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,"Corregir descripcion, deben de ser 2 diferentes "
73,111,Lili mill 437,437,520859,Oro ,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,"Corregir descripcion, deben de ser 2 diferentes "
74,111,Lili mill 437,437,520848,Negro,$339.50,$509.25,$169.75,$0.50,$50.00,,$89.12,$80.63,$169.75,$89.12,"Corregir descripcion, deben de ser 2 diferentes "
75,112,Miracol 6424,6424,521071,Nutry,$329.50,$494.25,$164.75,$0.50,$50.00,$86.49,$86.49,$78.26,$78.26,$0.00,
76,112,Miracol 6424,6424,521062,Negro ,$329.50,$494.25,$164.75,$0.50,$50.00,$86.49,$86.49,$78.26,$78.26,$0.00,
77,117,Viani 532,532,524603,Ngero,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
78,117,Milagros 51344,51344,520368,Sand,$399.50,$599.25,$199.75,$0.50,$50.00,,$104.87,$94.88,$199.75,$104.87,"Corregir descripcion y modelos, deben de ser 2 diferentes "
79,117,Milagros 51347,51347,520379,Negro,$379.50,$569.25,$189.75,$0.50,$50.00,,$99.62,$90.13,$189.75,$99.62,"Corregir descripcion y modelos, deben de ser 2 diferentes "
80,118,Vera vera 6308,6308,526019,Negro,$249.50,$374.25,$124.75,$0.50,$50.00,$65.49,$65.49,$59.26,$59.26,$0.00,
81,118,Cosmo New York 3161,3161,519227,Ladrillo ,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
82,118,Cosmo New York 3161,3161,390745,Negro,$299.50,$449.25,$149.75,$0.50,$50.00,$78.62,$78.62,$71.13,$71.13,$0.00,
83,121,Miracol 51352,51352,520484,Ladrillo ,$349.50,$524.25,$174.75,$0.50,$50.00,$91.74,$91.74,$83.01,$83.01,$0.00,
84,121,Miracol 51380,51380,520501,Negro,$349.50,$524.25,$174.75,$0.50,$50.00,$91.74,$91.74,$83.01,$83.01,$0.00,
85,121,Miracol 51380,51380,520492,Musgo,$349.50,$524.25,$174.75,$0.50,$50.00,$91.74,$91.74,$83.01,$83.01,$0.00,
86,122,Dolce collezione 4056,4056,527444,Almendra ,$269.50,$404.25,$134.75,$0.50,$50.00,,$70.74,$64.01,$134.75,$70.74,Corregir talla
87,122,Dolce collezione 4056,4056,479989,Negro ,$269.50,$404.25,$134.75,$0.50,$50.00,,$70.74,$64.01,$134.75,$70.74,Corregir talla
88,123,Milagros 9223,9223,520250,Negro,$389.50,$584.25,$194.75,$0.50,$50.00,,$102.24,$92.51,$194.75,$102.24,Corregir talla 
89,123,Milagros 9223,9223,498401,Camel,$389.50,$584.25,$194.75,$0.50,$50.00,,$102.24,$92.51,$194.75,$102.24,Corregir talla 
90,123,Dolce collezione 5052,9223,518859,Negro,$289.50,$434.25,$144.75,$0.50,$50.00,,$75.99,$68.76,$144.75,$75.99,Corregir talla 
91,125,Bagas Footwear ,208,519006,Inox ,$279.50,$419.25,$139.75,$0.50,$50.00,$73.37,$73.37,$66.38,$66.38,$0.00,
92,125,Bagas Footwear,208,519027,Oro ,$279.50,$419.25,$139.75,$0.50,$50.00,$73.37,$73.37,$66.38,$66.38,$0.00,
93,125,Bagas Footwear ,902,502528,Oxido,$279.50,$419.25,$139.75,$0.50,$50.00,$73.37,$73.37,$66.38,$66.38,$0.00,
94,126,Dolce Collezione ,5045,518830,Maquillaje,$279.50,$419.25,$139.75,$0.50,$50.00,,$73.37,$66.38,$139.75,$73.37,Corregir tallas 
95,126,Dolce Collezione,5045,518841,Negro,$279.50,$419.25,$139.75,$0.50,$50.00,,$73.37,$66.38,$139.75,$73.37,Corregir tallas 
96,127,Milagros,51282,498476,Negro,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
97,127,Milagros,51382,520398,Teka,$369.50,$554.25,$184.75,$0.50,$50.00,,$96.99,$87.76,$184.75,$96.99,Anexar color 
98,127,Milagros,51382,520387,Negro,$369.50,$554.25,$184.75,$0.50,$50.00,,$96.99,$87.76,$184.75,$96.99,Anexar color 
99,129,Dolce Collezione ,1159,518782,Negro,$299.50,$449.25,$149.75,$0.50,$50.00,,$78.62,$71.13,$149.75,$78.62,Corregir marca y talla 
100,129,Dolce Collezione ,1159,518790,Teka,$299.50,$449.25,$149.75,$0.50,$50.00,,$78.62,$71.13,$149.75,$78.62,Corregir marca y talla 
101,129,Dolce Collezione ,1147,518771,Negro,$329.50,$494.25,$164.75,$0.50,$50.00,,$86.49,$78.26,$164.75,$86.49,Corregir marca y talla 
102,135,Miracol ,9235,520465,Bronce ,$399.50,$599.25,$199.75,$0.50,$50.00,$104.87,$104.87,$94.88,$94.88,$0.00,
103,135,Miracol,9245,520473,Topo,$379.50,$569.25,$189.75,$0.50,$50.00,$99.62,$99.62,$90.13,$90.13,$0.00,
104,135,Miracol,9227,520454,Azul,$379.50,$569.25,$189.75,$0.50,$50.00,$99.62,$99.62,$90.13,$90.13,$0.00,
105,136,Caribe,34616,499142,Blanco,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
106,136,Caribe,34616,520570,Topo,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
107,136,Caribe,34722,520581,Ladrillo ,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
108,137,Milagros,9123,520239,Azul,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
109,137,Milagros,9123,520248,Negro,$359.50,$539.25,$179.75,$0.50,$50.00,$94.37,$94.37,$85.38,$85.38,$0.00,
110,138,Umma,5024,524943,Nuez,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
111,138,Umma,5025,524973,Piel,$319.50,$479.25,$159.75,$0.50,$50.00,$83.87,$83.87,$75.88,$75.88,$0.00,
112,141,Cosmo New York,141,499045,Seda,$269.50,$404.25,$134.75,$0.50,$50.00,$70.74,$70.74,$64.01,$64.01,$0.00,
113,141,Cosmo New York,149,525389,Topo,$269.50,$404.25,$134.75,$0.50,$50.00,$70.74,$70.74,$64.01,$64.01,$0.00,
114,141,Cosmo New York,144,525330,Negro,$279.50,$419.25,$139.75,$0.50,$50.00,$73.37,$73.37,$66.38,$66.38,$0.00,
115,142,Cosmo New York ,8315,517534,Seda,$279.50,$419.25,$139.75,$0.50,$50.00,$73.37,$73.37,$66.38,$66.38,$0.00,
116,142,Cosmo New York ,8314,525464,Ladrillo ,$279.50,$419.25,$139.75,$0.50,$50.00,$73.37,$73.37,$66.38,$66.38,$0.00,
117,187,Caribe ,13649,499112,Blanco,$289.50,$434.25,$144.75,$0.50,$50.00,$75.99,$75.99,$68.76,$68.76,$0.00,
118,187,Cosmo New York ,225,475328,Negro,$244.50,$366.75,$122.25,$0.50,$50.00,$75.99,$64.18,$58.07,$46.26,$11.81,
119,187,Cosmo New York ,225,446110,Seda,$244.50,$366.75,$122.25,$0.50,$50.00,$75.99,$64.18,$58.07,$46.26,$11.81,
120,201,Cosmo New York ,225,499056,Ladrillo ,$244.50,$366.75,$122.25,$0.50,$50.00,$64.18,$64.18,$58.07,$58.07,$0.00,
